item_key,title,authors,year,item_type,abstract
FNTL6JN9,SYNCode: synergistic human–LLM collaboration for enhanced data annotation in stack overflow †,Xia; Maharjan; Le et al.,2025,journalArticle,"Large language models (LLMs) have rapidly advanced natural language processing, showcasing remarkable effectiveness as automated annotators across various applications. Despite their potential to significantly reduce annotation costs and expedite workflows, annotations produced solely by LLMs can suffer from inaccuracies and inherent biases, highlighting the necessity of maintaining human oversight. In this article, we present a synergistic human–LLM collaboration approach for data annotation enhancement (SYNCode). This framework is designed explicitly to facilitate collaboration between humans and LLMs for annotating complex, code-centric datasets such as Stack Overflow. The proposed approach involves an integrated pipeline that initially employs TF-IDF analysis for quick identification of relevant textual elements. Subsequently, we leverage advanced transformer-based models, specifically NLP Transformer and UniXcoder, to capture nuanced semantic contexts and code structures, generating more accurate preliminary annotations. Human annotators then engage in iterative refinement, validating and adjusting annotations to enhance accuracy and mitigate biases introduced during automated labeling. To operationalize this synergistic workflow, we developed the SYNCode prototype, featuring an interactive graphical interface that supports real-time collaborative annotation between humans and LLMs. This enables annotators to iteratively refine and validate automated suggestions effectively. Our integrated human–LLM collaborative methodology demonstrates considerable promise in achieving high-quality, reliable annotations, particularly for domain-specific and technically demanding datasets, thereby enhancing downstream tasks in software engineering and natural language processing. © 2025 by the authors."
D62FTR38,"Stuck on suggestions: automation bias, the anchoring effect, and the factors that shape them in computational pathology",Rosbach; Ammeling; Ganz et al.,2026,preprint,"Artificial intelligence (AI)-driven decision support systems can improve diagnostic accuracy and efficiency in computational pathology. However, collaboration between human experts and AI may introduce cognitive biases such as automation and anchoring bias, where users adopt system predictions blindly or are disproportionately influenced by AI advice, even when inaccurate. These effects may be amplified under time pressure, common in routine pathology, or shaped by individual user characteristics. We conducted an online experiment in which pathology experts (n = 28) estimated tumor cell percentages: once independently and once with AI support. A subset of estimations in each condition was performed under time strain. Overall, AI assistance improved diagnostic performance but introduced a 7% automation bias rate, defined as accepted negative consultations where previously correct independent judgments were overturned by incorrect AI advice. While time pressure did not increase the frequency of automation bias, it appeared to intensify its severity, reflected in stronger performance declines associated with increased AI reliance under cognitive load. A linear mixed-effects model (LMM) simulating weighted averaging showed a statistically significant positive coefficient for AI advice, indicating moderate anchoring on system output. This effect increased under time pressure, suggesting anchoring bias becomes more pronounced when cognitive resources are limited. A second LMM assessing automation reliance, a proxy for automation and anchoring bias, showed that professional experience and self-efficacy were associated with lower dependence on AI, whereas higher confidence during AI-assisted decisions was tied to increased AI reliance. These findings highlight the dual nature of AI integration in clinical workflows: improving performance while introducing risks of bias-driven diagnostic errors."
HLMH49XE,Sociotechnical perspectives on balancing human judgment and AI in content moderation,Hartono; Suasana; Muthohir et al.,2025,conferencePaper,"The rapid advancement of Artificial Intelligence (AI) has revolutionized content moderation across digital platforms, but it has also introduced complex sociotechnical challenges. This study aims to explore the interaction between human moderators and AI systems in social media content moderation, with a focus on understanding the balance between automation and human judgment. A sociotechnical case study approach is employed, incorporating semi structured interviews with content moderators and AI engineers from major social media platforms. Thematic analysis identifies five key challenges is emotional distress among moderators, unclear role distribution between humans and AI, overreliance on AI decisions, algorithmic bias, and a lack of transparency. The findings highlight that while AI enhances efficiency, it struggles with contextual and cultural nuances, leading to misclassification. Additionally, human moderators face psychological strain due to exposure to disturbing content. The study concludes that hybrid moderation systems, while promising, remain imbalanced without clear ethical guidelines, psychosocial support, and robust feedback loops. Recommendations are provided for more defined human AI role definitions, the design of inclusive AI systems, and the implementation of organizational policies that support moderator well being and promote digital justice. This research contributes to advancing the ethical deployment of AI in content moderation, addressing both technological and human factors for more effective, fair, and sustainable moderation practices. © 2025 IEEE."
37FEWW5S,Securing agentic AI in IoT systems,Kumia; Lomoteyb; Deters et al.,2025,conferencePaper,"We present a dual-proxy, seven-plane gateway for agentic AI in IoT that separates data, control, security, autonomy, context/knowledge, coordination, and management concerns. A lightweight client-side proxy verifies, annotates, and signs requests, while a server-side proxy near the data plane enforces global policy and model routing. To govern autonomous AI, we add a Goal-Plan-Step sentinel that requires plan publication and step-level justifications, and we execute device commands through a Digital Twin. Our Rust/Actix-Web prototype hosts hot-swappable WebAssembly filters (Wasmtime). In closed-loop tests with 1,000 requests and 1-10 concurrent clients, median latency for the proxy-microservice invocations is below 0.8 seconds. Predictable behaviour persists up to 100 clients, with overload observed beyond 200 on a single GCP e2-medium host. These results indicate that governance and low-latency operation can be achieved for agentic IoT deployments with modest infrastructure requirements."
Y9RT3GUE,Quantifying uncertainty in answers from any language model and enhancing their trustworthiness,Chen; Mueller,2024,conferencePaper,"We introduce BSDETECTOR, a method for detecting bad and speculative answers from a pretrained Large Language Model by estimating a numeric confidence score for any output it generated. Our uncertainty quantification technique works for any LLM accessible only via a black-box API, whose training data remains unknown. By expending a bit of extra computation, users of any LLM API can now get the same response as they would ordinarily, as well as a confidence estimate that cautions when not to trust this response. Experiments on both closed and open-form Question-Answer benchmarks reveal that BSDETECTOR more accurately identifies incorrect LLM responses than alternative uncertainty estimation procedures (for both GPT-3 and ChatGPT). By sampling multiple responses from the LLM and considering the one with the highest confidence score, we can additionally obtain more accurate responses from the same LLM, without any extra training steps. In applications involving automated evaluation with LLMs, accounting for our confidence scores leads to more reliable evaluation in both human-in-the-loop and fully-automated settings (across both GPT 3.5 and 4). © 2024 Association for Computational Linguistics."
NK5VHI9V,Human factors in AI-driven cybersecurity: cognitive biases and trust issues,Hagen; Øverlier; Helkala,2025,journalArticle,"The integration of AI in cybersecurity promises enhanced threat detection and response capabilities, yet its adoption is hindered by human factors, particularly cognitive biases and trust issues. This study investigates how cognitive biases, such as automation bias (47%) and confirmation bias (37%), influence security analysts’ trust in AI-driven tools, drawing on Kahneman’s dual-process theory. Through qualitative interviews with 19 cybersecurity professionals and a comparative analysis of AI solutions from Microsoft, CrowdStrike, Darktrace, and IBM, we identify key barriers to adoption, including explainability gaps and high false positive rates. Findings reveal that 65% of analysts express skepticism toward AI alerts, favoring hybrid human–AI models (79%) over full automation. We propose strategies like Explainable AI (XAI), bias-awareness training, and adaptive trust calibration to mitigate biases and foster trust. These insights highlight the need for user-centric AI designs that balance technical performance with human cognitive realities in cybersecurity operations. © 2025 Copyright held by the owner/author(s)."
MZZTVXIF,Exploring collaborative decision-making: a quasi-experimental study of human and generative AI interaction,Hao; Demir; Eyers,2024,journalArticle,"This paper explores the effects of integrating Generative Artificial Intelligence (GAI) into decision-making processes within organizations, employing a quasi-experimental pretest-posttest design. The study examines the synergistic interaction between Human Intelligence (HI) and GAI across four group decision-making scenarios within three global organizations renowned for their cutting-edge operational techniques. The research progresses through several phases: identifying research problems, collecting baseline data on decision-making, implementing AI interventions, and evaluating the outcomes post-intervention to identify shifts in performance. The results demonstrate that GAI effectively reduces human cognitive burdens and mitigates heuristic biases by offering data-driven support and predictive analytics, grounded in System 2 reasoning. This is particularly valuable in complex situations characterized by unfamiliarity and information overload, where intuitive, System 1 thinking is less effective. However, the study also uncovers challenges related to GAI integration, such as potential over-reliance on technology, intrinsic biases particularly ‘out-of-the-box’ thinking without contextual creativity. To address these issues, this paper proposes an innovative strategic framework for HI-GAI collaboration that emphasizes transparency, accountability, and inclusiveness. © 2024 The Authors"
HWBR9AAF,Explainability does not mitigate the negative impact of incorrect AI advice in a personnel selection task,Cecil; Lermer; Hudecek et al.,2024,journalArticle,"Despite the rise of decision support systems enabled by artificial intelligence (AI) in personnel selection, their impact on decision-making processes is largely unknown. Consequently, we conducted five experiments (N = 1403 students and Human Resource Management (HRM) employees) investigating how people interact with AI-generated advice in a personnel selection task. In all pre-registered experiments, we presented correct and incorrect advice. In Experiments 1a and 1b, we manipulated the source of the advice (human vs. AI). In Experiments 2a, 2b, and 2c, we further manipulated the type of explainability of AI advice (2a and 2b: heatmaps and 2c: charts). We hypothesized that accurate and explainable advice improves decision-making. The independent variables were regressed on task performance, perceived advice quality and confidence ratings. The results consistently showed that incorrect advice negatively impacted performance, as people failed to dismiss it (i.e., overreliance). Additionally, we found that the effects of source and explainability of advice on the dependent variables were limited. The lack of reduction in participants’ overreliance on inaccurate advice when the systems’ predictions were made more explainable highlights the complexity of human-AI interaction and the need for regulation and quality standards in HRM. © The Author(s) 2024."
4LCRC3BZ,Designing for meaningful oversight: human and organisational agency in multimodal AI systems,Zhu; ACM,2025,conferencePaper,
8B46YAHW,Deep-learning-empowered detection of large-language-model-based generative content in educational tasks,Su; Shen; Zhou et al.,2025,journalArticle,"The rapid adoption of large language models (LLMs), such as ChatGPT, in education has intensified the need to differentiate artificial intelligence (AI)-generated from human-authored student work. This study proposes an intelligence augmentation (IA) framework that evaluates algorithmic performance while incorporating a human-in-the-loop mechanism for practical classroom deployment. Leveraging a comprehensive multitask dataset that spans article generation, text paraphrasing, and code generation, we conduct a systematic comparison between traditional machine learning and deep learning models. Beyond benchmark evaluations, the proposed approach is further validated using authentic classroom data, achieving up to 85% detection accuracy—significantly surpassing conventional algorithms and state-of-the-art zero-shot baselines. The results present the first multitask evaluation of generated-text detection within an IA framework, demonstrating the broad adaptability of both classical machine learning and deep learning algorithms across educational scenarios. These findings offer empirical evidence and actionable insights for developing trustworthy IA systems that strengthen academic integrity in AI-assisted learning environments. © 2008-2011 IEEE."
